Name,NACA 2407 Airfoil M=2.0% P=40.0% T=7.0%
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.004900,0.073300
99.851600,0.096200
99.392600,0.164300
98.630600,0.276300
97.570100,0.430100
96.217500,0.622800
94.580900,0.850900
92.670000,1.110300
90.496300,1.396300
88.072900,1.704200
85.414400,2.028600
82.536900,2.364300
79.457900,2.706000
76.196100,3.048300
72.771500,3.385800
69.204900,3.713400
65.518300,4.026000
61.734400,4.318800
57.876400,4.587000
53.968300,4.826300
50.034300,5.032400
46.098800,5.201800
42.186300,5.331000
38.313400,5.415400
34.501800,5.437700
30.785900,5.394800
27.189700,5.287800
23.736200,5.119200
20.447700,4.892800
17.345300,4.613300
14.448800,4.286700
11.776500,3.919600
9.345200,3.519400
7.170200,3.093700
5.264600,2.650400
3.640000,2.197200
2.306000,1.741100
1.270200,1.288500
0.538400,0.845000
0.114400,0.414500
0.000000,0.000000
0.193900,-0.383800
0.692800,-0.722800
1.492800,-1.017000
2.588400,-1.266600
3.972000,-1.472200
5.634700,-1.634700
7.565800,-1.755800
9.753100,-1.837500
12.182900,-1.882500
14.840600,-1.893900
17.709900,-1.875800
20.773700,-1.832600
24.013900,-1.769200
27.411300,-1.691000
30.945700,-1.603400
34.596500,-1.512000
38.342000,-1.422300
42.170200,-1.336300
46.055300,-1.242800
49.965700,-1.143500
53.877600,-1.041700
57.767000,-0.939900
61.610100,-0.840700
65.383400,-0.745800
69.063400,-0.656500
72.627600,-0.573900
76.053800,-0.498300
79.320600,-0.429900
82.407900,-0.368700
85.296300,-0.314300
87.967700,-0.266300
90.405400,-0.224400
92.594000,-0.188200
94.519800,-0.157300
96.170400,-0.131400
97.535500,-0.110400
98.606400,-0.094200
99.376300,-0.082600
99.840200,-0.075700
99.995100,-0.073300
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.114400,0.207250
0.538400,0.113557
1.270200,0.176681
2.306000,0.269418
3.640000,0.387167
5.264600,0.525935
7.170200,0.681354
9.345200,0.848568
11.776500,1.022313
14.448800,1.197240
17.345300,1.367600
20.447700,1.527802
23.736200,1.672283
27.189700,1.795850
30.785900,1.893720
34.501800,1.961665
38.313400,1.996208
42.186300,1.997544
46.098800,1.980052
50.034300,1.945343
53.968300,1.893487
57.876400,1.824962
61.734400,1.740613
65.518300,1.641737
69.204900,1.530090
72.771500,1.407538
76.196100,1.276490
79.457900,1.139411
82.536900,0.999015
85.414400,0.858211
88.072900,0.719854
90.496300,0.586702
92.670000,0.461660
94.580900,0.347279
96.217500,0.246062
97.570100,0.160112
98.630600,0.091232
99.392600,0.040971
99.851600,0.010338
100.004900,0.036650
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
